name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Tenacious Transmutation,General,Your mastery of the magic of changing makes your transmutations more durable.,Spell Focus (transmutation).,Spell Focus,"The DC of caster level checks to dispel or remove your transmutations increases by 2; even if the spell is negated, its effects persist for 1 additional round before dissipating.",,,Advanced Player's Guide
Thundering Spell,Metamagic,"You can conjure your spells into existence with blaring thunder or fearful shrieks, deafening creatures damaged by their effects.",,,"You can modify a spell to deafen a creature damaged by the spell. When a creature takes damage from this spell, it becomes deafened for a number of rounds equal to the original level of the spell. If the spell allows a saving throw, a successful save negates the deafening effect. If the spell does not allow a save, the target can make a Fortitude save to negate the deafening effect. If the spell effect also causes the creature to become deafened, the duration of this metamagic effect is added to the duration of the spell. A thundering spell uses up a spell slot two levels higher than the spell's actual level. Spells that do not inf lict damage do not benefit from this feat.",,,Advanced Player's Guide
Touch of Serenity,Combat,With a single touch you can reduce the threat of even the most savage of foes.,"Wis 18, Improved Unarmed Strike, base attack bonus +8.",Improved Unarmed Strike,"You must declare that you are using this feat before you make your attack roll (thus a failed attack roll ruins the attempt). On a successful hit, the attack deals no damage and bestows no other effect or condition, but the target cannot cast spells or attack (including attacks of opportunity and attacks as immediate actions) for 1 round unless it succeeds on a Will saving throw with a DC of 10 + 1/2 your character level + your Wisdom modifier. You may attempt a touch of serenity once per day for every four levels you have attained (but see Special), and no more than once per round.",,"A monk of the lotus receives Touch of Serenity as a bonus feat at 1st level, even if he does not meet the prerequisites. A monk may attempt a touch of serenity a number of times per day equal to his monk level, plus one more time per day for every four levels he has in classes other than monk.",Advanced Player's Guide
Trick Riding,Combat,You are not only skilled at controlling a horse in combat; you can make it look like art.,"Ride 9 ranks, Mounted Combat.",Mounted Combat,"While wearing light or no armor, you do not need to make Ride skill checks for any task listed in the Ride skill with a DC of 15 or lower. You do not take a -5 penalty for riding a mount bareback. You can make a check using Mounted Combat to negate a hit on your mount twice per round instead of just once.",,,Advanced Player's Guide
Tripping Strike,Combat,The force intrinsic to your critical hits can knock your foes down.,"Int 13, Combat Expertise, Improved Trip, base attack bonus +9.","Combat Expertise, Improved Trip","Whenever you score a critical hit with a melee attack, you can trip your opponent, in addition to the normal damage dealt by the attack. If your confirmation roll exceeds your opponent's CMD, you may knock your opponent prone as if from the trip combat maneuver. This does not provoke an attack of opportunity. If you are tripped during your own trip attempt, you can drop your weapon to avoid being tripped.",You must perform a trip combat maneuver to trip an opponent.,"You can only apply the effects of one of the following feats to a given critical hit: Bull Rush Strike, Disarming Strike, Repositioning Strike, Sundering Strike, or Tripping Strike. You may choose to use this feat after you make your confirmation roll.",Advanced Player's Guide
Under and Over,Combat,"You can slip under a foe trying to grab you, knocking him off balance.","Agile Maneuvers, Small size or smaller.",Agile Maneuvers,"If an opponent larger than you attempts to grapple you and fails, you may make a trip attack as an immediate action against that opponent with a +2 bonus. This does not provoke an attack of opportunity.",,,Advanced Player's Guide
Underfoot,Combat,You slip under and around your larger foes.,"Dodge, Mobility, Small size or smaller.","Dodge, Mobility","You receive a +4 dodge bonus on Acrobatics checks to move past opponents without provoking attacks of opportunity, so long as they are larger than you. In addition, you gain a +2 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a larger opponent's threatened area (this stacks with the +4 bonus provided by Mobility, for a total bonus of +6).",,,Advanced Player's Guide
Vermin Heart,General,"You have a special bond with things that creep, crawl, skitter, and sting.",Wild empathy class feature.,,You may target vermin with spells and special abilities that only affect animals (although they are still affected by spells targeting vermin as well). You may use wild empathy to inf luence vermin as easily as you inf luence animals.,,,Advanced Player's Guide
War Singer,General,"Your songs draw upon the savage chants and brutal ways of your people, inspiring those around you to new heights of violence and savagery.","Cha 13, bardic performance class feature, half-orc or orc.",,"When you use bardic performance with audible components on a battlefield (any area where a combat involving a dozen or more combatants is taking place), the range or area of your chosen performance is doubled. In addition, the DC for saving throws against your bardic performance is increased by +2 for creatures of the orc subtype, regardless of where the performance occurs.",,,Advanced Player's Guide
Well-Prepared,General,"Somehow, you always seem to have the right tools or supplies close at hand.",Halfling.,,"Once per day, when confronted with a situation that calls for a particular mundane item of equipment, you may make a Sleight of Hand check with a DC of 10 plus the item's cost in gold pieces to ""happen"" to have such an item on your person. For example, having a crowbar would be DC 12, whereas a flask of acid would be DC 20. The item must be something you can easily carry-if you are on foot and have only a backpack, for example, you could not have a large iron cauldron. You cannot have magical items using this feat, nor can you have specif ic items, such as the key to a particular door. If you are stripped of your equipment or possessions, you lose the benef its of this feat until you have at least a day to resupply and ""acquire"" new items. You must pay for these items normally.",,"At the GM's option, a character can substitute the Survival skill for Sleight of Hand with this feat. Such a choice is permanent.",Advanced Player's Guide
Adder Strike,Combat,"You can quickly apply poison to gloved hands, protected feet, or other protected body parts, delivering the poison with your unarmed strikes.","Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike.",Improved Unarmed Strike,"As a swift action, you can apply one dose of contact or injury poison to two body parts that you use for unarmed strikes. You must still protect yourself against exposure to contact poisons you apply in this way.",Applying poison to a weapon or single piece of ammunition is a standard action.,,Ultimate Combat
Adept Champion,General,"You can alter your smite ability, channeling the power of your deity into divine inspiration that grants you greater aptitude for performing combat maneuvers.","Smite evil class feature, base attack bonus +5.",,"While using your smite evil class feature, as a swift action at the start of your turn, you can forgo the bonus on damage rolls and instead gain half that bonus as a bonus on combat maneuver checks against the target of your smite. The effects of your smite evil feature return to normal at the start of your next turn.",,,Ultimate Combat
Amateur Gunslinger,Combat,"Although you are not a gunslinger, you have and can use grit.",You have no levels in a class that has the grit class feature.,,"You gain a small amount of grit and the ability to perform a single 1st-level deed from the gunslinger deed class feature. At the start of the day, you gain 1 grit point, though throughout the day you can gain grit points up to a maximum of your Wisdom modifier (minimum 1). You can regain grit using the rules for the gunslinger's grit class feature (see page 9). You can spend this grit to perform the 1st-level deed you chose upon taking this feat, and any other deed you have gained through feats or magic items.",,"If you gain levels in a class that grants the grit class feature, you can immediately trade this feat for the Extra Grit feat.",Ultimate Combat
Arc Slinger,Combat,You can twirl your sling in a way that maximizes its effectiveness.,"Point-Blank Shot, proficient with sling or halfling sling staff.",Point-Blank Shot,"When using a sling or sling staff, you reduce your penalty on ranged attack rolls due to range by 2. Point-Blank Shot's damage bonus applies within the first normal range increment of your sling (50 feet) or sling staff (80 feet).",,,Ultimate Combat
Back to Back,General,"Your ally's eyes are your own, and yours are his.",Perception 3 ranks.,,"While you are flanked and adjacent to an ally with this feat, you receive a +2 circumstance bonus to AC against attacks from opponents flanking you.",,,Ultimate Combat
Betrayer,General,"You can charm people into lowering their defenses, allowing you to ambush them more effectively.","Quick Draw, Persuasive, base attack bonus +3.","Quick Draw, Persuasive","When you succeed at a Diplomacy check to change a creature's attitude, you can draw a weapon and make a single melee attack against that creature as an immediate action. If you changed your target's attitude to friendly or better, your target is considered flat-footed against this attack. If the target survives, it takes a -2 penalty on its initiative check for this combat. Once you attack a creature, its attitude becomes hostile.",,,Ultimate Combat
Binding Throw,Combat,You can strike your enemy and use the blow as an opportunity to grab and hold him.,"Improved Grapple, Improved Trip, Improved Unarmed Strike, Ki Throw.","Improved Grapple, Improved Trip, Improved Unarmed Strike, Ki Throw","After you successfully use the Ki Throw feat on an opponent, you can use a swift action to attempt a grapple combat maneuver against that opponent.",The grapple combat maneuver is a standard action.,A monk can gain Binding Throw as a bonus feat starting at 14th level.,Ultimate Combat
Bludgeoner,Combat,You can knock foes out cold with just about any blunt instrument.,,,You take no penalty on attack rolls for using a lethal bludgeoning weapon to deal nonlethal damage.,You take a -4 penalty on attack rolls when using a lethal weapon to deal nonlethal damage. You cannot use a lethal weapon to deal nonlethal damage in a sneak attack.,A rogue with this feat can use a lethal bludgeoning weapon to deal nonlethal damage with a sneak attack.,Ultimate Combat
Boar Ferocity,Combat,Your flesh-ripping unarmed strikes terrify your victims.,"Improved Unarmed Strike, Boar Style, Intimidate 6 ranks.","Improved Unarmed Strike, Boar Style","You add piercing damage to the damage types you can deal with your unarmed strikes. Further, you gain a +2 bonus on Intimidate checks to demoralize opponents. While using Boar Style, whenever you tear an opponent's f lesh, you can spend a free action to make an Intimidate check to demoralize that opponent.",,,Ultimate Combat
Boar Shred,Combat,"The wounds you inf lict with your unarmed strikes bleed, giving you renewed vigor.","Improved Unarmed Strike, Boar Ferocity, Boar Style, Intimidate 9 ranks.","Improved Unarmed Strike, Boar Ferocity, Boar Style","You can make an Intimidate check to demoralize an opponent as a move action. While using Boar Style, whenever you tear an opponent's flesh, once per round at the start of that opponent's turn he takes 1d6 bleed damage. The bleed damage dealt while using Boar Style persist even if you later switch to a different style.",,,Ultimate Combat
Boar Style,Combat,Your sharp teeth and nails rip your foes open.,"Improved Unarmed Strike, Intimidate 3 ranks.",Improved Unarmed Strike,"You can deal bludgeoning damage or slashing damage with your unarmed strikes-changing damage type is a free action. While using this style, once per round when you hit a single foe with two or more unarmed strikes, you can tear flesh. When you do, you deal 2d6 bleed damage with the attack.",,,Ultimate Combat
Body Shield,Combat,"With a sly maneuver, you force a grappled opponent into the path of an incoming attack.","Dex 13, Improved Grapple, Improved Unarmed Strike, base attack bonus +6.","Improved Grapple, Improved Unarmed Strike","As an immediate action while you are grappling an adjacent creature, you can make a grapple combat maneuver check against that creature to gain cover against a single attack. If you are successful and the attack misses you, that attack targets the creature you used as cover, using the same attack roll. You cannot use this feat against a creature grappling you, and the cover you gain ends after the attack you gained cover against is resolved.",,,Ultimate Combat
Bolstered Resilience,General,You can dramatically increase your damage reduction in exchange for its temporary loss.,Damage reduction.,,"As an immediate action, you can double your DR against a single attack, to a maximum of DR 20. The type of the DR remains unchanged. If the attack you are guarding against is not successful, the increased damage reduction persists until you are hit with an attack or until the start of your next turn, whichever happens first. At the start of your next turn, you become fatigued. You cannot use this feat while you are fatigued.",,,Ultimate Combat
Bonebreaker,Combat,"When your opponent is unable to adequately defend against them, your precise unarmed strikes break bone and tear tissue.","Dex 13, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist, Heal 9 ranks.","Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist","When you make a successful Stunning Fist attempt against an opponent that is grappled, helpless, or stunned, you can forgo any other Stunning Fist effect to deal 1d6 Strength or Dexterity damage to that opponent.",,,Ultimate Combat
Branded for Retribution,General,"You brand an enemy with your bane weapon, making it more vulnerable to your allies' attacks.",Bane class feature.,,"As a standard action, expend 3 rounds of your bane class feature and make a melee touch attack with the weapon affected by bane. If you hit, your target takes no damage but is branded until the start of your next turn. While this brand remains, your allies' weapons are considered to have the bane ability with which your weapon is imbued when they attack the branded creature.",,,Ultimate Combat
Break Guard,Combat,You can use one of your two weapons to occupy your opponent's defenses while attacking with the other.,"Dex 15, Int 13, Combat Expertise, Improved Disarm, Two-Weapon Fighting.","Combat Expertise, Improved Disarm, Two-Weapon Fighting","While wielding two weapons, whenever you successfully use one weapon to disarm an opponent, you can spend a swift action to attack the opponent you attempted to disarm using your other weapon.",,,Ultimate Combat
Broken Wing Gambit,Combat,"You feign weakness, making yourself a tempting and distracting target.",Bluff 5 ranks.,,"Whenever you make a melee attack and hit your opponent, you can use a free action to grant that opponent a +2 bonus on attack and damage rolls against you until the end of your next turn or until your opponent attacks you, whichever happens first. If that opponent attacks you with this bonus, it provokes attacks of opportunity from your allies who have this feat.",,,Ultimate Combat
Cartwheel Dodge,General,You use your knack for avoiding damage to reposition yourself in combat.,"Evasion class feature, improved evasion class feature, acrobatics 12 ranks.",,"When you successfully use improved evasion to avoid taking damage, you can move up to half your speed as an immediate action. This movement provokes attacks of opportunity as normal.",,,Ultimate Combat
Cavalry Formation,Combat,You are skilled at riding in close formation with your mounted allies without impeding your effectiveness on the battlefield.,Mounted Combat.,Mounted Combat,"You and your mount can overlap the space of mounts whose riders have this feat, although no more than two creatures can share any one square. Further, you can charge through a space containing an allied mount if that mount's rider has this feat, although the space from which you make your charge attack must comply with this feat's other benefit or be unoccupied.",,,Ultimate Combat
Channeled Revival,General,You can expend a large portion of your channeling power to reverse death itself.,Channel energy 6d6 (positive energy).,,"As a full-round action that provokes attacks of opportunity, you can expend three uses of your channel energy class feature to restore a dead creature to life as if you had cast the breath of life spell (Core Rulebook 251).",,,Ultimate Combat
Channeling Scourge,General,"Your zeal for hunting your faith's enemies empowers your ability to channel divine energy, as long as you channel that energy for harm.","Channel energy class feature, inquisitor level 1st.",,"When you use channel energy to deal damage, your inquisitor levels count as cleric levels for determining the number of damage dice and the saving throw DC.",,,Ultimate Combat
Charging Hurler,Combat,You know how to use your momentum to enhance your thrown weapon attacks.,Point-Blank Shot.,Point-Blank Shot,"You can use the charge rules to make a thrown weapon attack. All the parameters of a charge apply, except that you must only move closer to your opponent, and you must end your movement within 30 feet of that opponent. If you do, you can make a single thrown weapon attack against that opponent, gaining the +2 bonus on the attack roll and taking a -2 penalty to your AC until the start of your next turn.",,,Ultimate Combat
Chokehold,Combat,"While grappling, you can cut off an opponent's air and blood supply.","Improved Grapple, Improved Unarmed Strike, base attack bonus +6 or monk level 5th.","Improved Grapple, Improved Unarmed Strike","While you have an opponent up to one size category larger than you grappled, you can attempt a grapple combat maneuver with a -5 penalty on the check. If you succeed, you have pinned your opponent and hold the opponent in a chokehold. When you maintain the grapple, you also maintain the chokehold. A creature in a chokehold cannot breathe or speak, and thus cannot cast spells that have a verbal component. An opponent you have in a chokehold has to hold his breath or begin suffocating. Any creature that does not breathe, is immune to bleed damage, or is immune to critical hits is immune to the effects of your chokehold. When the grapple is ended, so is the chokehold.",,,Ultimate Combat
Cleaving Finish,Combat,"When you strike down an opponent, you can continue your swing into another target.","Str 13, Cleave, Power Attack.","Cleave, Power Attack","If you make a melee attack, and your target drops to 0 or fewer hit points as a result of your attack, you can make another melee attack using your highest base attack bonus against another opponent within reach. You can make only one extra attack per round with this feat.",,,Ultimate Combat
Close-Quarters Thrower,Combat,You are agile enough to avoid melee attacks while throwing weapons or bombs.,"Dex 13, Dodge, Weapon Focus with selected thrown weapon.","Dodge, Weapon Focus","Choose a type of thrown weapon. You do not provoke attacks of opportunity for making ranged attacks using the selected weapon. If you are an alchemist, and you select this feat and choose alchemist bombs, you do not provoke attacks of opportunity for the process of drawing components of, creating, and throwing a bomb.",Making a ranged attack provokes attacks of opportunity.,,Ultimate Combat
Clustered Shots,Combat,"You take a moment to carefully aim your shots, causing them all to strike nearly the same spot.","Point-Blank Shot, Precise Shot, base attack bonus +6.","Point-Blank Shot, Precise Shot","When you use a full-attack action to make multiple ranged weapon attacks against the same opponent, total the damage from all hits before applying that opponent's damage reduction.",,"If the massive damage optional rule is being used (Core Rulebook 189), that rule applies if the total damage you deal with this feat is equal to or exceeds half the opponent's full normal hit points (minimum 50 points of damage).",Ultimate Combat
Combat Medic,General,"You know the urgency of treating wounds in the heat of battle, applying first aid to your allies with such speed that you assure no one gets left behind.",Heal 5 ranks.,,"Whenever you use Heal to provide first aid, treat caltrop wounds, or treat poison on an ally who also has this feat, you provoke no attacks of opportunity, and can take 10 on the check. Unlike with other teamwork feats, allies that are paralyzed, stunned, unconscious, or cannot otherwise act still count for the purposes of this feet.",,,Ultimate Combat
Combat Style Master,Combat,"You shift between combat styles, combining them to increased effect.","Improved Unarmed Strike, two or more style feats, base attack bonus +6 or monk level 5th.",Improved Unarmed Strike,"You can switch your style as a free action. At the start of combat, pick one of your styles. You start the combat in that style, even in the surprise round.",It takes a swift action to begin or switch your styles.,,Ultimate Combat
Contingent Channeling,General,You can imbue others with your healing energy so that they can use it at the moment of greatest need.,"True healer class feature, Selective Channeling.",Selective Channeling,"You can use a standard action to touch an ally and expend one of your daily uses of channel energy to create a repository of positive energy within that ally. This repository contains the same number and type of dice as normal for your channel energy feature, and it lasts for 1 minute. An ally who has such a repository can use an immediate action to roll the repository's dice and regain a number of hit points equal to the result. If an ally who has such a repository is reduced to negative hit points, the repository triggers, allowing the ally to heal without using an action.",,,Ultimate Combat
Coordinated Charge,Combat,You are an expert at leading your allies into the fray.,"You have at least two other teamwork feats, base attack bonus +10.",,"When an ally with this feat charges a creature that is no further away from you than your speed, you can, as an immediate action, charge that creature. You must be able to follow all of the normal charge rules.",,,Ultimate Combat
Crane Riposte,Combat,You use your defensive abilities to make overpowering counterattacks.,"Crane Style, Crane Wing, Dodge, Improved Unarmed Strike, base attack bonus +8 or monk level 7th.","Crane Style, Crane Wing, Dodge, Improved Unarmed Strike","You take only a -1 penalty on attack rolls for fighting defensively. Whenever you are fighting defensively, and you use Crane Wing to add a dodge bonus against one attack, that attack provokes an attack of opportunity from you if it misses. In addition, when you deflect an attack using Crane Wing while taking the total defense action, you may make an attack of opportunity against that opponent (even though you could not normally do so while taking the total defense action).",,,Ultimate Combat
Crane Style,Combat,Your unarmed fighting techniques blend poise with graceful defense.,"Dodge, Improved Unarmed Strike, base attack bonus +2 or monk level 1st.","Dodge, Improved Unarmed Strike","You take only a -2 penalty on attack rolls for f ighting defensively. While using this style and fighting defensively or using the total defense action, you gain an additional +1 dodge bonus to your Armor Class.",,,Ultimate Combat
Crane Wing,Combat,"You move with the speed and finesse of an avian hunter, your sweeping blocks and graceful motions allowing you to deflect melee attacks with ease.","Crane Style, Dodge, Improved Unarmed Strike, base attack bonus +5 or monk level 5th.","Crane Style, Dodge, Improved Unarmed Strike","Once per round, when fighting defensively with at least one hand free, you can designate one melee attack being made against you before the roll is made. You receive a +4 dodge bonus to AC against that attack. If you are using the total defense action instead, you can deflect one melee attack that would normally hit you. An attack so def lected deals no damage and has no other effect (instead treat it as a miss). You do not expend an action when using this feat, but you must be aware of the attack and not flat-footed.",,,Ultimate Combat
Crusader's Fist,Combat,You pour divine energy into the enemy you strike.,"Lay on hands class feature or touch of corruption class feature, Improved Unarmed Strike, base attack bonus +6.",Improved Unarmed Strike,"When you attack with an unarmed strike and hit a creature that you can harm with your lay on hands or touch of corruption feature, you can use a swift action to expend a daily use of that feature to deal its normal damage as if you had hit with the feature's normal touch attack. This extra damage is not multiplied if you scored a critical hit.",,,Ultimate Combat
Crusader's Flurry,General,You learned to use your deity's favored weapon as part of your martial arts form.,"Channel energy class feature, flurry of blows class feature, Weapon Focus with your deity's favored melee weapon.",Weapon Focus,You can use your deity's favored weapon as if it were a monk weapon.,,,Ultimate Combat
Crushing Blow,Combat,Your focus allows you to smash your enemy's defenses.,"Improved Unarmed Strike, Stunning Fist.","Improved Unarmed Strike, Stunning Fist","You can make a Stunning Fist attempt as a full-round action. If successful, instead of stunning your target, you reduce the target's AC by an amount equal to your Wisdom modifier for 1 minute. This penalty does not stack with other penalties applied due to Crushing Blow.",,,Ultimate Combat
Deadly Finish,Combat,Your attacks don't just fell your opponents-they kill them outright.,Base attack bonus +11.,,"When you hit with a melee attack and reduce your opponent to -1 or fewer hit points, you can force that opponent to succeed at a Fortitude save (DC 15 + the damage your attack dealt) or die.",,,Ultimate Combat
Death from Above,Combat,You allow gravity to add extra force to your charges.,,,"Whenever you charge an opponent from higher ground, or from above while flying, you gain a +5 bonus on attack rolls in place of the bonuses from charging and being on higher ground.",,,Ultimate Combat
Death or Glory,Combat,"Even when facing a larger foe, you aren't afraid to take great risks in order to finish the fight.","Str 13, Power Attack, base attack bonus +6.",Power Attack,"Against a creature of size Large or larger, you can make a single melee attack as a full-round action, gaining a +4 bonus on the attack roll, damage roll, and critical confirmation roll. You gain an additional +1 on this bonus at base attack bonus +11, +16, and +20 (for a maximum of +7 at base attack +20). After you resolve your attack, the opponent you attack can spend an immediate action to make a single melee attack against you with the same bonuses.",,"You can combine the full-round action attack this feat allows with the benefit of Vital Strike, Improved Vital Strike, or Greater Vital Strike.",Ultimate Combat
Deathless Initiate,Combat,"For you, impending death is a call to wrath.","Str 13, Con 13, orc or half-orc, Diehard, Endurance, base attack bonus +6.","Diehard, Endurance","You are not staggered while using the Diehard feat, but if you take a move and a standard action or a fullround action while you are at 0 or fewer hit points you take 1 point of damage. Further, while using the Diehard feat, you gain a +2 bonus on melee attacks and damage rolls.",,,Ultimate Combat
Deathless Master,Combat,"Even if you suffer a grievous wound, you can shrug off the damage and continue your relentless assault.","Str 13, Con 15, orc or half-orc, Deathless Initiate, Diehard, Endurance, Ironhide**, base attack bonus +9.","Deathless Initiate, Diehard, Endurance, Ironhide","When you are at 0 or fewer hit points, you do not lose 1 hit point when you take an action.",,,Ultimate Combat
Deathless Zealot,Combat,Only the most serious wounds can stop you.,"Str 13, Con 17, orc or half-orc, Deathless Initiate, Deathless Master, Diehard, Endurance, Ironhide**, base attack bonus +12.","Deathless Initiate, Deathless Master, Diehard, Endurance, Ironhide","Whenever a creature rolls to confirm a critical hit against you, it must roll twice and take the lowest result.",,,Ultimate Combat
Deceptive Exchange,General,"You trick an adversary into grabbing an object you hand them, even in the midst of combat.","Int 13, Combat Expertise, Improved Feint.","Combat Expertise, Improved Feint","If you successfully feint an opponent, you can trick that opponent into accepting a one-handed object you are holding instead of denying that opponent its Dexterity bonus to AC against your next attack. The opponent must have appendages capable of holding the object you offer, and it must have one such appendage free to take the object.",,"An alchemist who has the delayed bomb alchemist discovery can use this feat to hand an enemy a delayed bomb. Such a delayed bomb detonates at the end of the alchemist's turn. If the bomb is in a creature's square at the end of the alchemist's turn, the bomb deals that creature a direct hit.",Ultimate Combat
Defensive Weapon Training,Combat,You know how to defend yourself against a certain class of weaponry.,"Int 13, base attack bonus +5.",,"Choose a weapon group from the fighter's weapon training class ability list (except natural weapons). You gain a +2 dodge bonus on AC when an opponent attacks you using a weapon from that group. If you also have the weapon training class feature in the selected group, your dodge bonus from this feat increases to +3.",,"You can select this feat more than once. Its effects do not stack. Each time you select this feat, it applies to a different weapon group.",Ultimate Combat
Deft Shootist Deed,Grit,"You keep an eye out while focusing on your weapon, allowing you to avoid attacks while shooting and reloading firearms.","Grit class feature or Amateur Gunslinger feat, Dodge, Mobility.","Dodge, Mobility","As long as you have at least 1 grit point, you do not provoke attacks of opportunity when shooting or reloading a firearm.",,,Ultimate Combat
Destructive Dispel,General,"When you dispel an enemy's magical defenses, those defenses crash down with debilitating effects.","Ability to cast dispel magic or greater dispel magic, caster level 11th.",,"When you successfully make a targeted dispel check against an opponent, that opponent must succeed at a Fortitude save (DC equals the DC of the spell used to dispel) or be stunned until the start of your next turn. If the save succeeds, the opponent is instead sickened until the start of your next turn.",,,Ultimate Combat
Devastating Strike,Combat,"Pitting all of your strength and resolve against your enemy, you deliver a strike that is impossible to ignore.","Vital Strike, base attack bonus +9.",Vital Strike,"Whenever you use Vital Strike, Improved Vital Strike, or Greater Vital Strike, you gain a +2 bonus on each extra weapon damage dice roll those feats grant (+6 maximum). This bonus damage is multiplied on a critical hit.",,,Ultimate Combat
Dimensional Agility,General,Teleportation does not faze you.,Ability to use the abundant step class feature or cast dimension door.,,"After using abundant step or casting dimension door, you can take any actions you still have remaining on your turn. You also gain a +4 bonus on Concentration checks when casting teleportation spells.",,,Ultimate Combat
Dimensional Assault,General,You have been trained to use magical movement as part of your combat tactics.,"Ability to use the abundant step class feature or cast dimension door, Dimensional Agility.",Dimensional Agility,"As a full-round action, you use abundant step or cast dimension door as a special charge. Doing so allows you to teleport up to double your current speed (up to the maximum distance allowed by the spell or ability) and to make the attack normally allowed on a charge.",,,Ultimate Combat
Dimensional Dervish,General,"You teleport with a mere thought, savaging your opponents as you flash in and out of reality.","Ability to use the abundant step class feature or cast dimension door, Dimensional Agility, Dimensional Assault, base attack bonus +6.","Dimensional Agility, Dimensional Assault","You can take a full-attack action, activating abundant step or casting dimension door as a swift action. If your do, you can teleport up to twice your speed (up to the maximum distance allowed by the spell or ability), dividing this teleportation into increments you use before your first attack, between each attack, and after your last attack. You must teleport at least 5 feet each time you teleport.",,A monk can use additional points from his ki pool to increase his speed before determining the total speed for this teleportation.,Ultimate Combat
Dimensional Maneuvers,General,Your rapid teleportation makes your combat maneuvers more difficult to avoid.,"Ability to use the abundant step class feature or cast dimension door, Dimensional Agility, Dimensional Assault, Dimensional Dervish, base attack bonus +9.","Dimensional Agility, Dimensional Assault, Dimensional Dervish","While using the Dimensional Dervish feat, you gain a +4 bonus on combat maneuver checks to bull rush, disarm, reposition, or trip an opponent.",,,Ultimate Combat
Dimensional Savant,General,You flash into and out of reality so quickly it is impossible to tell exactly where you are at any given time.,"Dimensional Agility, Dimensional Assault, Dimensional Dervish, ability to use the abundant step class feature or cast dimension door, base attack bonus +9.","Dimensional Agility, Dimensional Assault, Dimensional Dervish","While using the Dimensional Dervish feat, you provide flanking from all squares you attack from. Flanking starts from the moment you make an attack until the start of your next turn. You can effectively flank with yourself and with multiple allies when using this feat.",,,Ultimate Combat
Discordant Voice,General,"By singing out a precise tone, you cause discordant vibrations to run through allies' weapons.","Bardic performance class feature, Perform (oratory or sing) 10 ranks.",,"Whenever you are using bardic performance to create a spell-like or supernatural effect, allies within 30 feet of you deal an extra 1d6 points of sonic damage with successful weapon attacks. This damage stacks with other energy damage a weapon might deal. Projectile weapons bestow this extra damage on their ammunition, but the extra damage is dealt only if the projectile hits a target within 30 feet of you.",,,Ultimate Combat
Disengaging Feint,Combat,You can feint to disengage from combat.,"Int 13, Combat Expertise, Improved Feint.","Combat Expertise, Improved Feint","As a standard action, use Bluff to feint against an opponent. Instead of denying that opponent his Dexterity bonus to AC, a successful feint allows you to move up to your speed without provoking an attack of opportunity from the opponent you feinted for leaving the square you start in.",,,Ultimate Combat
Disengaging Flourish,Combat,Distracting your opponents gives you the opportunity to make a swift retreat.,"Int 13, Combat Expertise, Disengaging Feint, Improved Feint.","Combat Expertise, Disengaging Feint, Improved Feint","As a standard action, make a Bluff check against each opponent that currently threatens you. If you succeed against at least one opponent, you can move up to your speed. This movement does not provoke attacks of opportunity from any opponent you succeeded at feinting against.",,,Ultimate Combat
Disengaging Shot,Combat,You make one last attack before beating a hasty retreat.,"Int 13, Combat Expertise, Disengaging Feint, Dodge, Improved Feint, Mobility.","Combat Expertise, Disengaging Feint, Dodge, Improved Feint, Mobility","Whenever you use Disengaging Feint or Disengaging Flourish, you can make a single melee attack against one opponent you succeeded at feinting against. That opponent is denied his Dexterity bonus to AC against this attack.",,,Ultimate Combat
Disorienting Maneuver,General,Your erratic movements disorient your opponent.,"Dodge, Acrobatics 5 ranks.",Dodge,"If you successfully use Acrobatics to tumble through an opponent's space, you gain a +2 circumstance bonus on attack rolls against that opponent until the start of your next turn. If you choose to make a trip attempt against that opponent, you gain a +4 circumstance bonus on your combat maneuver check. This bonus on trip also lasts until the start of your next turn.",,,Ultimate Combat
Dispel Synergy,General,"By tearing away an opponent's magical defenses, you leave your enemy vulnerable, making it difficult for him to resist your spells.",Spellcraft 5 ranks.,,"If you successfully dispel an ongoing magical effect on an opponent, that opponent takes a -2 penalty on saving throws against your spells until the end of your next turn.",,,Ultimate Combat
Dispelling Critical,General,Your blows attack the physical and arcane forms of your enemies at the same time.,"Arcane Strike, base attack bonus +11, ability to cast dispel magic.",Arcane Strike,"If you have dispel magic prepared or can cast it spontaneously, when you score a critical hit against an opponent, you may use a swift action to cast dispel magic to make a targeted dispel against that opponent.",,,Ultimate Combat
Dispelling Fist,General,"By focusing on your knowledge of magic and spells that negate its powers, you use your bare hands to rip magical defenses from your enemy.","Improved Unarmed Strike, base attack bonus +11, ability to cast dispel magic, caster level 7th.",Improved Unarmed Strike,"If you have dispel magic prepared or can cast it spontaneously, you can cast it as a swift action after hitting an opponent with an unarmed strike. Treat this as a targeted dispel against the opponent you hit.",,,Ultimate Combat
Disposable Weapon,General,"You ignore the limitations of your equipment, striking harder despite the damage it does to your weapon.","Base attack bonus +1, proficient with weapon.",,"Whenever you use a melee or thrown weapon with the fragile weapon special quality to score a critical threat against an opponent, you can give your weapon the broken condition to automatically conf irm the critical hit.",,,Ultimate Combat
